'BUTTER,WITH SALT';717
'BUTTER,WHIPPED,WITH SALT';717
'BUTTER OIL,ANHYDROUS';876
'CHEESE,BLUE';353
'CHEESE,BRICK';371
'CHEESE,BRIE';334
'CHEESE,CAMEMBERT';300
'CHEESE,CARAWAY';376
'CHEESE,CHEDDAR';403
'CHEESE,CHESHIRE';387
'CHEESE,COLBY';394
'CHEESE,COTTAGE,CRMD,LRG OR SML CURD';98
'CHEESE,COTTAGE,CRMD,W/FRUIT';97
'CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD';72
'CHEESE,COTTAGE,LOWFAT,2% MILKFAT';86
'CHEESE,COTTAGE,LOWFAT,1% MILKFAT';72
'CHEESE,CREAM';342
'CHEESE,EDAM';357
'CHEESE,FETA';264
'CHEESE,FONTINA';389
'CHEESE,GJETOST';466
'CHEESE,GOUDA';356
'CHEESE,GRUYERE';413
'CHEESE,LIMBURGER';327
'CHEESE,MONTEREY';373
'CHEESE,MOZZARELLA,WHL MILK';300
'CHEESE,MOZZARELLA,WHL MILK,LO MOIST';318
'CHEESE,MOZZARELLA,PART SKIM MILK';254
'CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST';302
'CHEESE,MUENSTER';368
'CHEESE,NEUFCHATEL';253
'CHEESE,PARMESAN,GRATED';431
'CHEESE,PARMESAN,HARD';392
'CHEESE,PORT DE SALUT';352
'CHEESE,PROVOLONE';351
'CHEESE,RICOTTA,WHOLE MILK';174
'CHEESE,RICOTTA,PART SKIM MILK';138
'CHEESE,ROMANO';387
'CHEESE,ROQUEFORT';369
'CHEESE,SWISS';380
'CHEESE,TILSIT';340
'CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D';371
'CHEESE,PAST PROCESS,PIMENTO';375
'CHEESE,PAST PROCESS,SWISS';334
'CHEESE FD,COLD PK,AMERICAN';331
'CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT';330
'CHEESE FD,PAST PROCESS,SWISS';323
'CHEESE SPRD,PAST PROCESS,AMERICAN';290
'CREAM,FLUID,HALF AND HALF';130
'CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)';195
'CREAM,FLUID,LT WHIPPING';292
'CREAM,FLUID,HVY WHIPPING';345
'CREAM,WHIPPED,CRM TOPPING,PRESSURIZED';257
'CREAM,SOUR,RED FAT,CULTURED';135
'CREAM,SOUR,CULTURED';193
'EGGNOG';88
'SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE';178
'MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS';63
'MILK,FILLED,FLUID,W/LAURIC ACID OIL';63
'CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT';136
'CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE';136
'CREAM SUBSTITUTE,POWDERED';545
'DESSERT TOPPING,POWDERED';577
'DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK';194
'DESSERT TOPPING,PRESSURIZED';264
'DESSERT TOPPING,SEMI SOLID,FRZ';318
'SOUR CRM,IMITN,CULTURED';208
'MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL';61
'MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D';61
'MILK,PRODUCER,FLUID,3.7% MILKFAT';64
'MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D';50
'MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D';51
'MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D';56
'MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D';42
'MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D';43
'MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D';48
'MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)';34
'MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D';37
'MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)';41
'MILK,BTTRMLK,FLUID,CULTURED,LOWFAT';40
'MILK,LO NA,FLUID';61
'MILK,DRY,WHL,W/ ADDED VITAMIN D';496
'MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D';362
'MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D';358
'MILK,DRY,NONFAT,CA RED';354
'MILK,BUTTERMILK,DRIED';387
